"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","occurrence_id","tmax_mean_c","prec_annual","tas_current_october_c","tas_future_october_2050_c","delta_tas_october_c","NDVI"
160,"Tyto alba",44.969499,10.388585,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",23,70,18.6916666666667,566,14.65,15.7500000000001,1.10000000000002,0.6797
160,"Tyto alba",44.483354,11.458468,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",49,71,20.0083333333334,390,15.35,16.35,1,0.3748
160,"Tyto alba",45.1723175,10.2197866389,2026-03-10,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",38,72,18.575,670,14.45,15.65,1.19999999999999,0.7325
160,"Tyto alba",45.2542710299,10.2361056488,2025-10-27,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",43,73,18.5166666666667,693,14.45,15.65,1.19999999999999,0.5125
160,"Tyto alba",44.271997,12.299397,2025-01-09,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-1,74,20.0916666666667,414,16.15,17.2500000000001,1.10000000000002,0.6173
160,"Tyto alba",46.000853,12.798397,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",48,75,17.4166666666667,895,13.85,14.95,1.10000000000002,0.6237
160,"Athene noctua",45.4779690395,8.9156902581,2026-03-29,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",141,76,18.2,811,13.7500000000001,14.95,1.19999999999999,0.6327
160,"Tyto alba",45.004943,9.031719,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",86,77,18.725,569,14.35,15.55,1.19999999999999,0.6519
160,"Tyto alba",44.884783,10.665117,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",18,78,19.025,500,14.7500000000001,15.85,1.09999999999997,0.6472
160,"Tyto alba",44.8884152206,7.7306678585,2026-02-23,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",235,79,17.85,527,13.35,14.65,1.30000000000001,0.4723
160,"Tyto alba",45.9339984503,13.0713315681,2026-02-20,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",26,80,17.7333333333333,976,14.2500000000001,15.2500000000001,1,0.4346
160,"Tyto alba",45.117901,12.272644,2025-03-21,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-2,81,17.05,523,16.35,17.45,1.10000000000002,0.608
160,"Tyto alba",45.76576,12.743368,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",0,82,17.675,802,14.65,15.7500000000001,1.10000000000002,0.6769
160,"Tyto alba",44.9817577767,12.1784277735,2025-09-21,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",-2,83,17.7500000000001,473,16.15,17.2500000000001,1.10000000000002,0.4251
160,"Tyto alba",44.602927,11.337499,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",21,84,20.0916666666667,393,15.35,16.35,1,0.3123
160,"Tyto alba",45.014770611,9.0090520198,2025-09-20,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",79,85,18.7666666666667,562,14.35,15.55,1.19999999999999,0.4401
160,"Tyto alba",44.92611,10.248149,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",34,86,18.6333333333334,566,14.55,15.65,1.10000000000002,0.7142
160,"Tyto alba",44.8658055422,11.6996250239,2025-08-28,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",2,87,19.725,450,15.35,16.35,1,0.467
160,"Tyto alba",45.5202275495,9.3032892421,2026-02-04,"inat","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",121,88,18.0916666666667,888,13.7500000000001,14.95,1.19999999999999,0.7576
